_service,Адрес ДТП,Дата и время,Код СКДФ,Вид ДТП,Ранено,Погибло,Количество участников,Количество ТС,Система источник,Причины ДТП,_page
,"Октябрьский р-н
пр-кт Строителей",30.12.2024 в 23:50:00,337208503,Наезд на пешехода,1,1,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,1
,Варненский муниципальный район Варна - Лейпциг - ж/д станция Саламат,30.12.2024 в 23:30:00,337179699,Съезд с дороги,0,0,0,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,1
,"Октябрьский
ул Ульянова",30.12.2024 в 23:30:00,337179378,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Нарушение требований сигналов светофора; Несоблюдение очередности проезда,1
,"ИНДУСТРИАЛЬНЫЙ
ул Московская",30.12.2024 в 23:22:00,337194517,Иной вид ДТП,0,0,0,3,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,1
,"Смоленский район М-1 Беларусь Москва - граница с Республикой Беларусь (основное направление)
М-1 ""Беларусь"" Москва - граница с Республикой Беларусь(17+083 - 456+780)",30.12.2024 в 23:20:00,337198615,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Движение вдоль проезжей части попутного направления вне населенного пункта при удовлетворительном состоянии обочины,1
,"Калининский район
ул. 40-летия Победы",30.12.2024 в 23:16:00,337179679,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Нарушение требований сигналов светофора,1
,"Тобольский район Медведчикова-Малая Зоркальцева
Кутарбитка - Худякова",30.12.2024 в 23:15:00,337167795,Столкновение,0,0,0,4,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,1
,"ПРОЛЕТАРСКИЙ
ул Вересаева",30.12.2024 в 23:10:00,337200366,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,1
,"Городецкий район Городец - Зиняки - Кантаурово
Городец - Зиняки - Кантаурово",30.12.2024 в 23:10:00,337186433,Съезд с дороги,0,0,0,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,1
,"Николаевский район
ул. Маго-Рейд-Овсяное поле-Гырман",30.12.2024 в 23:00:00,337212455,Съезд с дороги,0,0,0,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,1
,"Ленинский район
ул Карла Либкнехта",30.12.2024 в 23:00:00,337195400,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,1
,"МО МР Сысольский Визинга (Луч) - Горьковская
Визинга (Луч) - Горьковская",30.12.2024 в 23:00:00,337173277,Столкновение,0,0,0,5,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,1
,"Дмитровский р-н А-104 Москва - Дмитров – Дубна
А-104 Москва - Дмитров - Дубна (23+750 - 123+382)",30.12.2024 в 22:55:00,337177590,Наезд на пешехода,1,1,1,1,Официальный сайт Госавтоинспекции,Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка),1
,"г. Буйнакск
ул Имама Шамиля",30.12.2024 в 22:50:00,337191010,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,1
